Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+716E,200021925-00013_1,2354,253,B0001,C0001,92,123
U+7ACB,200021925-00013_1,2370,368,B0001,C0002,60,93
U+548C,200021925-00013_1,2354,468,B0001,C0003,87,88
U+3089,200021925-00013_1,2372,542,B0001,C0004,59,76
U+304B,200021925-00013_1,2367,616,B0001,C0005,51,40
U+306B,200021925-00013_1,2354,657,B0001,C0006,71,65
U+6210,200021925-00013_1,2356,734,B0001,C0007,87,105
U+305F,200021925-00013_1,2359,838,B0001,C0008,71,79
U+308B,200021925-00013_1,2382,920,B0001,C0009,40,48
U+6642,200021925-00013_1,2360,980,B0001,C0010,80,89
U+76AE,200021925-00013_1,2364,1074,B0001,C0011,73,91
U+3092,200021925-00013_1,2366,1173,B0001,C0012,79,52
U+53BB,200021925-00013_1,2372,1238,B0001,C0013,60,75
U+308A,200021925-00013_1,2384,1314,B0001,C0014,35,65
U+6C37,200021925-00013_1,2364,1385,B0001,C0015,87,79
U+7802,200021925-00013_1,2354,1473,B0001,C0016,83,83
U+7CD6,200021925-00013_1,2360,1549,B0001,C0017,79,99
U+3092,200021925-00013_1,2358,1657,B0001,C0018,76,53
U+5165,200021925-00013_1,2356,1723,B0001,C0019,88,73
U+968F,200021925-00013_1,2215,259,B0001,C0020,77,89
U+5206,200021925-00013_1,2230,349,B0001,C0021,57,92
U+3042,200021925-00013_1,2216,455,B0001,C0022,73,79
U+307E,200021925-00013_1,2230,534,B0001,C0023,45,88
U+304D,200021925-00013_1,2214,624,B0001,C0024,77,71
U+7A0B,200021925-00013_1,2218,702,B0001,C0025,75,89
U+5165,200021925-00013_1,2208,793,B0001,C0026,100,80
U+5206,200021925-00013_1,2223,858,B0001,C0027,72,101
U+91CF,200021925-00013_1,2206,973,B0001,C0028,84,101
U+898B,200021925-00013_1,2219,1089,B0001,C0029,69,79
U+306F,200021925-00013_1,2230,1184,B0001,C0030,55,69
U+304B,200021925-00013_1,2242,1254,B0001,C0031,43,41
U+3089,200021925-00013_1,2248,1294,B0001,C0032,29,63
U+3072,200021925-00013_1,2223,1356,B0001,C0033,67,85
U+306A,200021925-00013_1,2219,1456,B0001,C0034,67,83
U+308A,200021925-00013_1,2242,1539,B0001,C0035,40,63
U+25CB,200021925-00013_1,2059,249,B0001,C0036,85,87
U+674F,200021925-00013_1,2042,349,B0001,C0037,117,125
U+9169,200021925-00013_1,2055,485,B0001,C0038,91,96
U+85AC,200021925-00013_1,2067,594,B0001,C0039,75,101
U+306B,200021925-00013_1,2083,697,B0001,C0040,44,73
U+7528,200021925-00013_1,2070,793,B0001,C0041,67,87
U+3086,200021925-00013_1,2066,889,B0001,C0042,73,55
U+308B,200021925-00013_1,2084,945,B0001,C0043,43,49
U+674F,200021925-00013_1,2052,1008,B0001,C0044,85,92
U+4EC1,200021925-00013_1,2058,1110,B0001,C0045,89,83
U+3092,200021925-00013_1,2059,1197,B0001,C0046,80,51
U+71B1,200021925-00013_1,2052,1261,B0001,C0047,93,108
U+304D,200021925-00013_1,2062,1368,B0001,C0048,72,68
U+6E6F,200021925-00013_1,2066,1444,B0001,C0049,80,95
U+306B,200021925-00013_1,2068,1539,B0001,C0050,69,72
U+6D78,200021925-00013_1,2063,1617,B0001,C0051,81,97
U+3057,200021925-00013_1,2099,1721,B0001,C0052,13,84
U+67D4,200021925-00013_1,1906,252,B0001,C0053,72,108
U+306B,200021925-00013_1,1903,368,B0001,C0054,73,69
U+6210,200021925-00013_1,1906,435,B0001,C0055,76,108
U+305F,200021925-00013_1,1916,540,B0001,C0056,49,52
U+308B,200021925-00013_1,1918,593,B0001,C0057,51,49
U+6642,200021925-00013_1,1904,658,B0001,C0058,81,88
U+4E73,200021925-00013_1,1908,749,B0001,C0059,84,100
U+9262,200021925-00013_1,1904,858,B0001,C0060,91,95
