Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+7269,brsk001-009,2196,818,B0001,C0001,131,100
U+985E,brsk001-009,2188,944,B0001,C0002,124,126
U+79F0,brsk001-009,2184,1091,B0001,C0003,132,105
U+547C,brsk001-009,2203,1211,B0001,C0004,116,117
U+5DFB,brsk001-009,2195,1332,B0001,C0005,125,114
U+4E4B,brsk001-009,2215,1462,B0001,C0006,63,84
U+4E00,brsk001-009,2199,1581,B0001,C0007,106,26
U+6C5F,brsk001-009,1914,2054,B0001,C0008,126,88
U+90FD,brsk001-009,1912,2146,B0001,C0009,137,140
U+8D8A,brsk001-009,1910,2363,B0001,C0010,137,137
U+8C37,brsk001-009,1923,2501,B0001,C0011,130,91
U+543E,brsk001-009,1915,2604,B0001,C0012,120,114
U+5C71,brsk001-009,1935,2749,B0001,C0013,99,68
U+79C0,brsk001-009,1900,2826,B0001,C0014,148,140
U+771F,brsk001-009,1929,2979,B0001,C0015,100,140
U+7DE8,brsk001-009,1917,3220,B0001,C0016,123,125
U+8F2F,brsk001-009,1919,3365,B0001,C0017,135,149
U+5929,brsk001-009,1587,1198,B0001,C0018,128,114
U+5730,brsk001-009,1581,1327,B0001,C0019,145,119
U+5317,brsk001-009,1356,565,B0001,C0020,115,62
U+8FB0,brsk001-009,1369,629,B0001,C0021,101,99
U+307B,brsk001-009,1365,790,B0001,C0022,92,91
U+304F,brsk001-009,1377,882,B0001,C0023,39,111
U+3057,brsk001-009,1345,996,B0001,C0024,92,94
U+3093,brsk001-009,1350,1091,B0001,C0025,106,76
U+5317,brsk001-009,1398,1199,B0001,C0026,69,54
U+6975,brsk001-009,1395,1266,B0001,C0027,81,82
U+3068,brsk001-009,1421,1359,B0001,C0028,33,75
U+79F0,brsk001-009,1395,1446,B0001,C0029,82,87
U+3059,brsk001-009,1410,1535,B0001,C0030,40,74
U+308B,brsk001-009,1412,1610,B0001,C0031,43,54
U+3082,brsk001-009,1414,1665,B0001,C0032,39,71
U+3092,brsk001-009,1398,1739,B0001,C0033,72,72
U+306A,brsk001-009,1397,1812,B0001,C0034,74,71
U+3057,brsk001-009,1426,1877,B0001,C0035,26,112
U+3046,brsk001-009,1340,1188,B0001,C0036,29,88
U+3054,brsk001-009,1333,1277,B0001,C0037,50,50
U+304B,brsk001-009,1340,1333,B0001,C0038,25,39
U+306C,brsk001-009,1327,1373,B0001,C0039,65,72
U+661F,brsk001-009,1327,1466,B0001,C0040,51,104
U+306A,brsk001-009,1329,1571,B0001,C0041,50,81
U+308A,brsk001-009,1336,1653,B0001,C0042,33,111
U+25CB,brsk001-009,1334,1960,B0001,C0043,101,108
U+4E0A,brsk001-009,1339,2081,B0001,C0044,82,83
U+7DCF,brsk001-009,1331,2165,B0001,C0045,115,112
U+56FD,brsk001-009,1323,2278,B0001,C0046,105,84
U+306B,brsk001-009,1348,2366,B0001,C0047,51,60
U+3066,brsk001-009,1333,2427,B0001,C0048,88,94
U+30FB,brsk001-009,1356,2522,B0001,C0049,44,45
U+3072,brsk001-009,1327,2570,B0001,C0050,95,97
U+3068,brsk001-009,1361,2659,B0001,C0051,31,79
U+3064,brsk001-009,1324,2755,B0001,C0052,91,73
U+306E,brsk001-009,1328,2838,B0001,C0053,79,68
U+307B,brsk001-009,1329,2904,B0001,C0054,91,74
U+3057,brsk001-009,1363,2961,B0001,C0055,18,118
U+53C8,brsk001-009,1371,3086,B0001,C0056,74,66
U+756A,brsk001-009,1313,3132,B0001,C0057,91,136
U+306E,brsk001-009,1319,3272,B0001,C0058,89,62
U+307B,brsk001-009,1325,3338,B0001,C0059,95,79
U+3057,brsk001-009,1325,3401,B0001,C0060,83,124
U+3068,brsk001-009,1200,781,B0001,C0061,44,65
U+79F0,brsk001-009,1171,856,B0001,C0062,102,96
U+3059,brsk001-009,1187,954,B0001,C0063,52,105
U+5317,brsk001-009,1011,563,B0001,C0064,102,65
U+6597,brsk001-009,1005,629,B0001,C0065,104,102
U+307B,brsk001-009,1008,789,B0001,C0066,85,103
U+304F,brsk001-009,1023,893,B0001,C0067,56,104
U+3068,brsk001-009,1033,1001,B0001,C0068,43,91
U+3046,brsk001-009,1070,1129,B0001,C0069,28,98
U+3054,brsk001-009,1060,1231,B0001,C0070,52,47
U+304F,brsk001-009,1064,1279,B0001,C0071,30,87
U+661F,brsk001-009,1052,1377,B0001,C0072,52,101
U+306A,brsk001-009,983,1132,B0001,C0073,61,82
U+308A,brsk001-009,992,1215,B0001,C0074,35,110
U+25CB,brsk001-009,991,1481,B0001,C0075,106,104
U+6771,brsk001-009,988,1598,B0001,C0076,93,98
U+56FD,brsk001-009,991,1697,B0001,C0077,91,108
U+306B,brsk001-009,1004,1806,B0001,C0078,63,59
U+3066,brsk001-009,987,1866,B0001,C0079,103,84
U+30FB,brsk001-009,1007,1956,B0001,C0080,45,47
U+4E03,brsk001-009,984,2017,B0001,C0081,77,56
U+66DC,brsk001-009,982,2089,B0001,C0082,102,113
U+306E,brsk001-009,980,2212,B0001,C0083,86,65
U+307B,brsk001-009,985,2278,B0001,C0084,96,72
U+3057,brsk001-009,1027,2325,B0001,C0085,18,126
U+3068,brsk001-009,1006,2444,B0001,C0086,42,74
U+79F0,brsk001-009,979,2519,B0001,C0087,107,103
U+3059,brsk001-009,996,2617,B0001,C0088,58,95
U+53C8,brsk001-009,1016,2733,B0001,C0089,73,64
U+56DB,brsk001-009,977,2805,B0001,C0090,86,55
U+4E09,brsk001-009,973,2870,B0001,C0091,92,69
U+306E,brsk001-009,975,2949,B0001,C0092,81,86
U+661F,brsk001-009,983,3036,B0001,C0093,70,120
U+3068,brsk001-009,1004,3161,B0001,C0094,33,73
U+3082,brsk001-009,982,3235,B0001,C0095,58,97
U+3044,brsk001-009,980,3333,B0001,C0096,73,53
U+3075,brsk001-009,965,3387,B0001,C0097,103,60
U+6634,brsk001-009,843,580,B0001,C0098,82,129
U+307C,brsk001-009,834,791,B0001,C0099,105,89
U+3046,brsk001-009,853,881,B0001,C0100,37,157
U+3059,brsk001-009,884,1079,B0001,C0101,37,85
U+3070,brsk001-009,876,1165,B0001,C0102,61,69
U+308B,brsk001-009,888,1235,B0001,C0103,37,63
U+661F,brsk001-009,876,1306,B0001,C0104,49,94
U+3068,brsk001-009,883,1409,B0001,C0105,33,49
U+4E91,brsk001-009,876,1462,B0001,C0106,49,69
U+4E8C,brsk001-009,806,1076,B0001,C0107,56,34
U+5341,brsk001-009,804,1121,B0001,C0108,58,49
U+516B,brsk001-009,809,1178,B0001,C0109,62,35
U+5BBF,brsk001-009,804,1219,B0001,C0110,64,83
U+306E,brsk001-009,805,1305,B0001,C0111,57,56
U+5185,brsk001-009,806,1365,B0001,C0112,53,66
U+4E5F,brsk001-009,796,1437,B0001,C0113,68,79
U+25CB,brsk001-009,813,1520,B0001,C0114,101,106
U+6771,brsk001-009,816,1632,B0001,C0115,88,125
U+56FD,brsk001-009,809,1767,B0001,C0116,104,87
U+306B,brsk001-009,831,1860,B0001,C0117,71,64
U+3066,brsk001-009,821,1925,B0001,C0118,72,82
U+30FB,brsk001-009,822,1987,B0001,C0119,81,74
U+4E5D,brsk001-009,822,2066,B0001,C0120,81,74
U+3088,brsk001-009,834,2148,B0001,C0121,48,78
U+3046,brsk001-009,845,2227,B0001,C0122,33,105
U+306E,brsk001-009,813,2338,B0001,C0123,85,73
U+661F,brsk001-009,814,2413,B0001,C0124,71,122
U+3068,brsk001-009,839,2539,B0001,C0125,34,68
U+4E91,brsk001-009,814,2608,B0001,C0126,80,76
U+6C5F,brsk001-009,811,2688,B0001,C0127,87,91
U+6238,brsk001-009,802,2772,B0001,C0128,70,133
U+306B,brsk001-009,832,2876,B0001,C0129,24,63
U+3066,brsk001-009,810,2942,B0001,C0130,64,71
U+306F,brsk001-009,807,3024,B0001,C0131,81,41
U+30FB,brsk001-009,822,3100,B0001,C0132,38,35
U+3080,brsk001-009,791,3163,B0001,C0133,102,86
U+3064,brsk001-009,795,3250,B0001,C0134,92,65
U+3089,brsk001-009,834,3316,B0001,C0135,52,76
U+661F,brsk001-009,803,3388,B0001,C0136,66,113
U+3068,brsk001-009,693,776,B0001,C0137,32,79
U+3044,brsk001-009,661,883,B0001,C0138,67,61
U+3075,brsk001-009,635,945,B0001,C0139,111,72
U+53C2,brsk001-009,489,571,B0001,C0140,97,128
U+3057,brsk001-009,483,790,B0001,C0141,81,104
U+3093,brsk001-009,479,895,B0001,C0142,107,87
U+304B,brsk001-009,529,1002,B0001,C0143,68,50
U+3089,brsk001-009,548,1053,B0001,C0144,38,81
