Unicode,Image,X,Y,Block ID,Char ID,Width,Height
U+6BD4,hnsd001-011,1596,374,B0001,C0001,61,104
U+7FFC,hnsd001-011,1590,490,B0001,C0002,68,99
U+9023,hnsd001-011,1454,370,B0001,C0003,90,91
U+7406,hnsd001-011,1461,494,B0001,C0004,82,69
U+82B1,hnsd001-011,1517,610,B0001,C0005,111,109
U+8FFA,hnsd001-011,1506,740,B0001,C0006,122,83
U+5FD7,hnsd001-011,1529,831,B0001,C0007,93,114
U+6E80,hnsd001-011,1524,959,B0001,C0008,103,116
U+4453,hnsd001-011,1529,1079,B0001,C0009,97,128
U+521D,hnsd001-011,1522,1225,B0001,C0010,99,89
U+7DE8,hnsd001-011,1518,1313,B0001,C0011,108,101
U+5DFB,hnsd001-011,1518,1433,B0001,C0012,119,104
U+4E4B,hnsd001-011,1530,1551,B0001,C0013,101,73
U+4E0A,hnsd001-011,1510,1633,B0001,C0014,121,87
U+6C5F,hnsd001-011,1341,1272,B0001,C0015,81,72
U+6238,hnsd001-011,1322,1347,B0001,C0016,81,104
U+677E,hnsd001-011,1320,1670,B0001,C0017,122,101
U+4EAD,hnsd001-011,1325,1836,B0001,C0018,105,142
U+91D1,hnsd001-011,1326,2030,B0001,C0019,115,105
U+6C34,hnsd001-011,1309,2194,B0001,C0020,137,96
U+7DE8,hnsd001-011,1319,2337,B0001,C0021,110,109
U+6B21,hnsd001-011,1330,2480,B0001,C0022,112,95
U+7B2C,hnsd001-011,1131,661,B0001,C0023,99,139
U+4E00,hnsd001-011,1139,856,B0001,C0024,94,20
U+56DE,hnsd001-011,1143,934,B0001,C0025,89,79
U+5B5D,hnsd001-011,1128,1148,B0001,C0026,101,128
U+5B50,hnsd001-011,1130,1304,B0001,C0027,96,90
U+306E,hnsd001-011,1147,1421,B0001,C0028,65,54
U+8FBB,hnsd001-011,1126,1507,B0001,C0029,107,93
U+541B,hnsd001-011,1126,1627,B0001,C0030,107,95
U+5929,hnsd001-011,950,374,B0001,C0031,108,98
U+306B,hnsd001-011,955,467,B0001,C0032,85,66
U+5BD2,hnsd001-011,950,547,B0001,C0033,97,114
U+6691,hnsd001-011,947,667,B0001,C0034,101,140
U+6E29,hnsd001-011,958,817,B0001,C0035,89,97
U+51C9,hnsd001-011,955,915,B0001,C0036,87,107
U+306E,hnsd001-011,967,1028,B0001,C0037,66,55
